views_int,views,ai_comment_mentions,comments_scanned,comments,norwegian_score,title,channel,channel_country,default_language,default_audio_language,url,duration,upload_date,found_by_queries,norwegian_reasons,norwegian_markers_found,ai_markers_in_metadata,subscribers,channel_video_count,comment_scan_error,ai_comment_texts
68374,68374,0,0,0,17,Gjett spillet ut i fra kakarakten! 🤫 #flippklipp #challenge #norge,NRK FlippKlipp,NO,no,no,https://www.youtube.com/shorts/JRrRqTHc9Ik,0:51,2025-05-20T12:00:29Z,Norge,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,og; å; æ,,224000,1961,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
67352,67352,0,0,0,15,Super Mario Galaxy filmen | Offisiell trailer (norsk tale),United International Pictures Norway,NO,no,,https://www.youtube.com/shorts/Y3tBcp_K6Ag,2:25,2025-11-12T14:55:49Z,norsk,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,den; følg; og; på; å; ø,,168000,3365,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
67216,67216,0,7,9,6,Noen fler som opplever dette her? Mariell Olsen #kjæreste #normal #norsk,Amund Pettersen,,en,en,https://www.youtube.com/shorts/kw2pR0Doews,0:29,2026-06-01T14:13:07Z,norsk,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,dette; følg; norsk; til; å; æ; ø,,7760,160,,
66256,66256,0,0,0,19,Gamle Per hadde en T-Rex #norske #barnesanger #puddingtv #shorts,Pudding-TV,NO,no,no,https://www.youtube.com/shorts/QsllHZbF630,0:54,2024-06-10T13:00:31Z,norske,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,den; det; følg; jeg; med; norsk; og; på; til; å; æ; ø,,157000,481,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
63798,63798,0,72,114,10,"Why this happened bror, why..🥲🇳🇴 #norway #ytshorts #travel #norge #17mai #oslo #nyheter",Zia ( The Explorer) 🇳🇴,NO,no,,https://www.youtube.com/shorts/tZ6s-QaWaJ0,0:08,2026-05-15T16:35:05Z,Norge,channel_country=NO; defaultLanguage=no; found by broad Norway/Norwegian seed query,,,17300,976,,
63124,63124,0,23,38,11,Learn Norwegian online or in class. Click the link in bio!🇳🇴,Speak Norsk,NO,no,zxx,https://www.youtube.com/shorts/Deugvph24XE,0:17,2025-05-26T17:29:22Z,norsk,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norsk,,65100,140,,
62907,62907,0,32,44,15,Harald & Sonja | Offisiell Trailer | Prime Video Norge,Prime Video Norge,NO,no,,https://www.youtube.com/shorts/sdvp1uKk114,2:14,2025-02-06T08:00:51Z,norske,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; den; det; du; følg; ikke; med; norge; norsk; norske; og; på; til; velkommen; å; æ; ø,,200000,1786,,
60615,60615,0,21,27,15,Det norske landslaget har det gøy på cup! 🇳🇴 Se #humoretaten i #nrktv #reels,NRK,NO,no,,https://www.youtube.com/shorts/YvRMSeqX3x8,0:35,2026-06-17T14:00:22Z,Norge; norsk; norske,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,det; dette; du; norsk; norske; og; på; å; ø,,409000,3706,,
60585,60585,0,34,36,19,Annonse Coca-Cola Norge - Hvem er er Coca-Cola sin nye ambassadør?👀#CocaColaNorge #FIFAWorldCup,FotMob Norge,NO,no,no,https://www.youtube.com/shorts/BguGLCu4wKE,0:36,2026-05-29T17:29:03Z,Norge,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; den; du; med; norge; og; på; til; velkommen; å; ø,,8040,336,,
59507,59507,0,28,42,15,Hvor mange handshakes tok vi?🤝 #gave #norsk #fretex #akselhøst,Aksel Høst Hansen,NO,no,,https://www.youtube.com/shorts/zkPmFRWxzUw,1:30,2026-02-27T14:27:58Z,norsk,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; der; det; du; ikke; jeg; med; norsk; norske; og; på; til; velkommen; å; æ; ø,,23600,168,,
59055,59055,0,0,0,19,Fingerfamilien (Tommelfinger tommelfinger hvor er du?) - Kjente Norske barnesanger,TaraShow Norsk,NO,no,no,https://www.youtube.com/shorts/Eloav5WCJ7M,1:14,2024-03-08T13:00:11Z,norske,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; den; det; du; ikke; jeg; med; norsk; norske; og; på; til; å; æ; ø,,8320,305,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
58994,58994,0,12,18,6,Kjøper alt jeg uttaler riktig… Mariell Olsen #kjæreste #sephora #norsk,Amund Pettersen,,en,en,https://www.youtube.com/shorts/veaW4PgOqYY,0:55,2026-05-12T08:04:12Z,norsk,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,følg; jeg; norsk; til; å; æ; ø,,7760,160,,
58772,58772,0,0,0,17,Si samme ord samtidig! 😅 #flippklipp #challenge #norge,NRK FlippKlipp,NO,no,no,https://www.youtube.com/shorts/c7skMYwOUo0,0:57,2025-05-22T12:01:07Z,Norge,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,og; å; æ,,224000,1961,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
58294,58294,0,0,0,19,"Hode, skulder, kne og tå #norske #barnesanger #puddingtv #shorts",Pudding-TV,NO,no,no,https://www.youtube.com/shorts/UD1HEYEVt1k,0:50,2024-06-12T13:00:33Z,norske,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,den; det; følg; jeg; med; norsk; og; på; til; å; æ; ø,,157000,481,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
56477,56477,0,167,186,6,Hvilken drakt bruker dere? #kjæreste #dans #norsk,Amund Pettersen,,en,en,https://www.youtube.com/shorts/RD5DhCXYwFw,0:15,2026-05-29T14:03:46Z,norsk,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,følg; norsk; til; å; æ; ø,,7760,160,,
55908,55908,0,0,0,15,Ti små jegere sangen | Spennende tellesang med Tittei | Norske barnesanger,Tittei,NO,no,,https://www.youtube.com/shorts/ZUYDhjZtl8g,1:50,2026-03-10T05:30:22Z,norske,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; den; der; det; jeg; med; norsk; norske; og; på; til; velkommen; å; æ; ø,,906,67,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
54959,54959,0,18,42,10,Have you seen his performance? ❤️⚽️🇳🇴 #travel #norway #football #usa #vm #norge #viral,Zia ( The Explorer) 🇳🇴,NO,no,,https://www.youtube.com/shorts/Z6OsIhRL-sE,0:12,2026-06-14T13:39:58Z,Norge; norske,channel_country=NO; defaultLanguage=no; found by broad Norway/Norwegian seed query,,,17300,976,,
54858,54858,0,56,67,11,Mini Stories in Easy Norwegian: In the Forest | Norwegian Listening Practice,Learn Norwegian Now!,NO,en,,https://www.youtube.com/shorts/IaktNWrvNms,1:46,2023-11-21T06:00:09Z,norsk,channel_country=NO; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,du; jeg; norsk; og; på; å; æ; ø,,12500,156,,
54720,54720,0,58,78,14,Joakim vs Sofia Loise  | /Golden (Fay Wildhagen) | The Battles | The Voice Norway 2026,The Voice Norway,NO,no,en-US,https://www.youtube.com/shorts/6LHKHQR03rc,2:51,2026-03-27T21:00:07Z,Norge,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; og; å; ø,,386000,1392,,
52383,52383,0,0,0,19,Alle barna klapper #norske #barnesanger #puddingtv #shorts,Pudding-TV,NO,no,no,https://www.youtube.com/shorts/qhllrYvlGBM,0:56,2024-06-07T13:01:01Z,norske,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,den; det; følg; jeg; med; norsk; og; på; til; å; æ; ø,,157000,481,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
52379,52379,0,8,8,6,Den siste er jo bankers! Mariell Olsen #kjæreste #frisør #norsk,Amund Pettersen,,en,en,https://www.youtube.com/shorts/aEMFMNxTb28,0:57,2026-06-03T14:15:58Z,norsk,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,den; følg; norsk; til; å; æ; ø,,7760,160,,
52006,52006,0,0,0,15,De tre bukkene Bruse sangen  | Norske barnesanger  | Eventyrsang med Tittei,Tittei,NO,no,,https://www.youtube.com/shorts/AC6nAndzGt4,2:19,2026-04-02T12:12:42Z,norske,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; der; det; du; følg; med; norsk; norske; og; på; til; velkommen; å; æ; ø,,906,67,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
51422,51422,0,8,18,14,Norges nye VM Sang #football  (unofficial),ID-AI,NO,no,,https://www.youtube.com/shorts/hczE1X2pcHw,0:24,2025-06-26T23:28:51Z,Norge; norsk,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; på; å; ø,ai,2130,164,,
50984,50984,0,0,0,19,Bæ bæ lille lam gikk på restaurant - Norske barnesanger,Pudding-TV,NO,no,no,https://www.youtube.com/shorts/-6WTACvnJoM,1:08,2025-08-14T14:19:30Z,norske,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,den; det; følg; ikke; jeg; med; norsk; norske; og; på; til; å; æ; ø,,157000,481,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
50141,50141,1,67,105,7,Norwegian accent of English UNPACKED 🇳🇴 #accent #accents #pronunciation #norwegian #english,Ola Norwegian,PL,en,no,https://www.youtube.com/shorts/uIMpvuIMhQ4,2:59,2025-05-02T16:10:59Z,norsk; norske,defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norsk; æ,,7090,383,,Either our 10 year old English or AI voice from iPhone 3. It’s appreciated the effort to learn another language and we get that. Our language is hard
50023,50023,1,51,69,11,Norges VM sang 2026?🔥 🎵Gutta Rydder Bord,ID-AI,NO,no,,https://www.youtube.com/shorts/GAl3Z46030k,0:23,2026-06-01T21:50:33Z,Norge; norsk,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge,ai,2130,164,,holy ai sang
49975,49975,0,84,97,6,Er dere klare for Norge kamp? #kjæreste #vm #norsk,Amund Pettersen,,en,en,https://www.youtube.com/shorts/aJpGBr4uSCM,1:03,2026-06-15T19:45:17Z,Norge; norsk; norske,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,følg; norge; norsk; til; å; æ; ø,,7760,160,,
48123,48123,1,27,28,11,SKÅL FOR NORWAY!,Jernblod,NO,no,,https://www.youtube.com/shorts/YwMTrW416_E,0:14,2026-06-20T15:30:19Z,Norge,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,å,,41600,62,,This is AI bullshit
47098,47098,0,6,6,6,Skal ikke mer til🙏 Mariell Olsen #kjæreste #jenter #norsk,Amund Pettersen,,en,en,https://www.youtube.com/shorts/TwKDsNn2VIA,0:57,2026-05-13T08:04:03Z,norsk,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,følg; ikke; norsk; til; å; æ; ø,,7760,160,,
46712,46712,0,26,38,10,is it true or not? 🤔😃🇳🇴 #norge #norway #snow #funny #winter #visitnorway #ytshorts #nyheter #norsk,Zia ( The Explorer) 🇳🇴,NO,no,,https://www.youtube.com/shorts/SI768mRA984,0:13,2026-01-19T08:05:54Z,Norge,channel_country=NO; defaultLanguage=no; found by broad Norway/Norwegian seed query,,,17300,976,,
45902,45902,0,23,25,6,Jul i svingen norsk dub,NorwaySigma,,no,,https://www.youtube.com/shorts/8ZqwEcvK_Jg,0:23,2025-01-16T20:14:09Z,norsk,defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norsk,,5460,196,,
45833,45833,0,0,0,19,Shorts 1 Jeg gikk en tur på stien #barnesang #barnesanger #norsk,TaraShow Norsk,NO,no,no,https://www.youtube.com/shorts/hZjeBhFF1cE,0:19,2024-02-02T20:27:48Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; det; ikke; jeg; med; norge; norsk; og; på; til; å; æ; ø,,8320,305,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
45117,45117,0,0,0,19,Tind - norsk spekemat med klar signatur - Matskatter i MENY,MENY,NO,no,no,https://www.youtube.com/shorts/SprJbTOzfiI,1:46,2026-06-11T07:07:56Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,du; med; norsk; norske; og; på; til; å; ø,,18500,678,,
44611,44611,0,1,22,3,🇳🇴 Norway vs Iraq 4-1 Highlights 🔥 Haaland Masterclass | FIFA World Cup 2026 #worldcup2026 #fifa,WCUltraFootballX26,IN,en,,https://www.youtube.com/shorts/9CsKEI_K_0E,0:06,2026-06-17T00:23:31Z,Norge,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,å; ø,,2800,78,,
44484,44484,0,0,0,10,Barnesanger på norsk,Norske Barnesanger,,no,,https://www.youtube.com/shorts/bRKyuzdgEyE,0:47,2025-10-14T17:15:01Z,norsk,defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; det; norsk; norske; og; på; til; velkommen; å; æ; ø,,51900,117,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
44378,44378,1,58,81,8,Enig? Rate norske vm-låter 🇳🇴⚽️🎵🤩 #football #worldcup #fifa2026 #fifaworldcup #soccer #norway,Hador Factory,,no,,https://www.youtube.com/shorts/IA-6uClDpqs,1:02,2025-09-16T22:51:21Z,Norge; norske,defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norsk; norske; å,,424,31,,Det siste er jo søppel. AI-generert drit er det ingen som vil ha
44305,44305,1,29,45,7,1 sentence in 7 dialects #norwegian #norway #norsk #norwegianteacher,Ola Norwegian,PL,en,no,https://www.youtube.com/shorts/M9_e5z76MTw,0:28,2025-01-31T16:55:20Z,norsk; norske,defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norsk; æ,,7090,383,,Wow. Chatgpt told me this dialect of Norwegian is similar to north west Wales welsh (the most unique and correct version) and it really is
43771,43771,1,45,67,11,Song Norway 🇳🇴 World Cup 2026🏆🎵 Gutta skal til finalen #football,ID-AI,NO,no,,https://www.youtube.com/shorts/4H9wVc93Ygk,0:54,2026-06-07T11:12:44Z,Norge,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,til,ai,2130,164,,Ai søppel
43727,43727,0,0,0,19,Bæ bæ lille lam #barnesang #barnesanger #norsk,TaraShow Norsk,NO,no,no,https://www.youtube.com/shorts/w9zcJxWD0HE,0:29,2023-12-10T06:00:31Z,norske,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; ikke; med; norsk; og; på; til; å; æ; ø,,8320,305,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
43616,43616,0,7,8,6,Forventet ikke helt den reaksjonen😱 Mariell Olsen #kjæreste #morsomt #norsk,Amund Pettersen,,en,en,https://www.youtube.com/shorts/1rPLpXJQi-0,1:34,2026-06-14T14:10:25Z,norsk,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,den; følg; ikke; norsk; til; å; æ; ø,,7760,160,,
43251,43251,0,0,,19,💙 Statuer | Bluey | Disney Junior Norge,Disney Junior Norge,NO,no,no,https://www.youtube.com/shorts/cfb1YMtdK1A,1:45,2025-03-14T16:00:45Z,Norge,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; det; du; med; norge; norsk; og; på; til; velkommen; å; æ; ø,,248000,1776,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
42969,42969,0,5,6,10,Spring in Norway be like 😀🌷🇳🇴 #norway #ytshorts #norge #nyheter #memes #spring,Zia ( The Explorer) 🇳🇴,NO,no,,https://www.youtube.com/shorts/acrdrD4BGIE,0:09,2026-03-10T13:09:01Z,Norge,channel_country=NO; defaultLanguage=no; found by broad Norway/Norwegian seed query,,,17300,976,,
42724,42724,0,0,0,19,Lille Petter edderkopp #shorts #barnesanger #norsk #puddingtv,Pudding-TV,NO,no,no,https://www.youtube.com/shorts/r2S3pXldlwM,0:43,2024-06-03T13:26:44Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,den; det; følg; jeg; med; norsk; og; på; til; å; æ; ø,,157000,481,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
41731,41731,0,0,0,15,Smurfene: Filmen| Offisiell trailer (norsk tale),United International Pictures Norway,NO,no,,https://www.youtube.com/shorts/JQPwAp4xJn0,2:02,2025-02-06T19:24:28Z,norsk,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,følg; og; på; å; ø,,168000,3365,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
41487,41487,0,0,0,15,Rødhette sangen  |  Norske barnesanger  | Eventyrsang med Tittei,Tittei,NO,no,,https://www.youtube.com/shorts/fvnjLgq5LCM,2:40,2026-01-05T15:28:18Z,norske,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; den; der; det; du; ikke; jeg; med; norsk; norske; og; på; til; velkommen; å; æ; ø,,906,67,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
40500,40500,0,0,0,19,Olle Bolle #norske #barnesanger #puddingtv #troll #shorts,Pudding-TV,NO,no,no,https://www.youtube.com/shorts/0MWP6qhF_Us,0:46,2024-06-17T13:30:00Z,norske,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,den; det; følg; jeg; med; norsk; og; på; til; å; æ; ø,,157000,481,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
39585,39585,0,6,6,8,Pov: Du ser på Polen i VM 2026 #funny #norge #humor,Fremoverlenteboys,,no,,https://www.youtube.com/shorts/CdLoiQDyaPk,0:12,2026-04-30T12:46:19Z,Norge,defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,du; på; å,,281,24,,
39523,39523,0,10,11,6,Hahahah her sier du mye rart Mariell Olsen #kjæreste #skole #norsk,Amund Pettersen,,en,en,https://www.youtube.com/shorts/sNa71IlMigE,0:46,2026-06-11T08:05:27Z,norsk,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,du; følg; norsk; til; å; æ; ø,,7760,160,,
39518,39518,0,31,34,11,A Viking anthem for Norway's return to the World Cup.,Jernblod,NO,no,en,https://www.youtube.com/shorts/70TyvSMlp6E,0:14,2026-06-21T15:15:18Z,Norge,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,å,,41600,62,,
39160,39160,0,52,68,19,Kombinert 11er: NORGE v SVERIGE🇳🇴🇸🇪,FotMob Norge,NO,no,no,https://www.youtube.com/shorts/I392OlqISFI,1:31,2026-06-01T09:04:45Z,Norge,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; den; du; med; norge; og; på; til; velkommen; å,,8040,336,,
37838,37838,0,236,243,6,Blir fort julegave til 6000kr🙏 Mariell Olsen #kjæreste #jul #norsk,Amund Pettersen,,en,en,https://www.youtube.com/shorts/S55jbBEHCBs,0:49,2026-06-03T08:04:33Z,Norge; norsk,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,følg; norsk; til; å; æ; ø,,7760,160,,
37751,37751,0,93,141,15,Liker du BlimE-låta?🤔 #reels #shorts #norge,Tobias Rysstad,NO,no,,https://www.youtube.com/shorts/AA5m90jQM6s,0:13,2024-07-09T15:52:00Z,Norge,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,det; du; hva; hvorfor; å,,6790,351,,
37615,37615,0,0,0,19,Molly og Mi 🕸️ Lille Petter Edderkopp 🕸️ (Barnesanger på norsk),Molly og Mi,NO,no,no,https://www.youtube.com/shorts/TeyjG5hn3Ao,1:07,2024-03-22T07:00:07Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,den; det; du; fordi; følg; med; norsk; norske; og; på; til; å; æ; ø,,2540,167,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
37583,37583,0,107,147,14,Sol Geirsdottir | Trøllabudin (Eivor) | Blind Auditions | The Voice Norway 2026,The Voice Norway,NO,no,en-US,https://www.youtube.com/shorts/xba1CZ7cxLw,2:16,2026-02-13T21:00:56Z,Norge,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; og; å; ø,,386000,1392,,
37230,37230,0,17,21,12,Liker du Norsk lag? 🤔😋❤️⚽️🇳🇴 #norway #ytshorts #football #tvnorge #norge #worldcup #vm #zia,Zia ( The Explorer) 🇳🇴,NO,no,,https://www.youtube.com/shorts/SQTsSqITVo8,0:25,2026-06-16T15:45:32Z,Norge; norske,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,du; norsk,,17300,976,,
37067,37067,0,19,19,6,Prøver alt jeg kan! Mariell Olsen #kjæreste #dialekt #norsk,Amund Pettersen,,en,en,https://www.youtube.com/shorts/XKVQJmmXqvk,1:05,2026-06-09T17:03:25Z,norsk,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,følg; jeg; norsk; til; å; æ; ø,,7760,160,,
